Ensembl Gene ID	GO Term Accession	GO Term Name	GO Term Definition	GO Term Evidence Code	GO domain	Description	shared name
ENSG00000107672	GO:0006310	DNA recombination	Any process in which a new genotype is formed by reassortment of genes resulting in gene combinations different from those that were present in the parents. In eukaryotes genetic recombination can occur by chromosome assortment, intrachromosomal recombination, or nonreciprocal interchromosomal recombination. Intrachromosomal recombination occurs by crossing over. In bacteria it may occur by genetic transformation, conjugation, transduction, or F-duction. [ISBN:0198506732]	IEA	biological_process	NSE4 homolog, SMC5-SMC6 complex component A [Source:HGNC Symbol;Acc:HGNC:25935]	54780
ENSG00000107672	GO:0005654	nucleoplasm	That part of the nuclear content other than the chromosomes or the nucleolus. [GOC:ma, ISBN:0124325653]	IDA	cellular_component	NSE4 homolog, SMC5-SMC6 complex component A [Source:HGNC Symbol;Acc:HGNC:25935]	54780
ENSG00000107672	GO:0030915	Smc5-Smc6 complex	A conserved complex that contains a heterodimer of SMC proteins (Smc5p and Smc6p, or homologs thereof) and several other proteins, and is involved in DNA repair and maintaining cell cycle arrest following DNA damage. In S. cerevisiae, this is an octameric complex called Mms21-Smc5-Smc6 complex, with at least five of its subunits conserved in fission yeast and humans. [GOC:rb, PMID:14701739]	IDA	cellular_component	NSE4 homolog, SMC5-SMC6 complex component A [Source:HGNC Symbol;Acc:HGNC:25935]	54780
ENSG00000107672	GO:0006281	DNA repair	The process of restoring DNA after damage. Genomes are subject to damage by chemical and physical agents in the environment (e.g. UV and ionizing radiations, chemical mutagens, fungal and bacterial toxins, etc.) and by free radicals or alkylating agents endogenously generated in metabolism. DNA is also damaged because of errors during its replication. A variety of different DNA repair pathways have been reported that include direct reversal, base excision repair, nucleotide excision repair, photoreactivation, bypass, double-strand break repair pathway, and mismatch repair pathway. [PMID:11563486]	IEA	biological_process	NSE4 homolog, SMC5-SMC6 complex component A [Source:HGNC Symbol;Acc:HGNC:25935]	54780
ENSG00000107672	GO:0005515	protein binding	Interacting selectively and non-covalently with any protein or protein complex (a complex of two or more proteins that may include other nonprotein molecules). [GOC:go_curators]	IPI	molecular_function	NSE4 homolog, SMC5-SMC6 complex component A [Source:HGNC Symbol;Acc:HGNC:25935]	54780
ENSG00000107672	GO:0000781	chromosome, telomeric region	The terminal region of a linear chromosome that includes the telomeric DNA repeats and associated proteins. [GOC:elh]	IEA	cellular_component	NSE4 homolog, SMC5-SMC6 complex component A [Source:HGNC Symbol;Acc:HGNC:25935]	54780
ENSG00000107672	GO:0044267	cellular protein metabolic process	The chemical reactions and pathways involving a specific protein, rather than of proteins in general, occurring at the level of an individual cell. Includes cellular protein modification. [GOC:jl]	TAS	biological_process	NSE4 homolog, SMC5-SMC6 complex component A [Source:HGNC Symbol;Acc:HGNC:25935]	54780
ENSG00000107672	GO:0043687	post-translational protein modification	The process of covalently altering one or more amino acids in a protein after the protein has been completely translated and released from the ribosome. [GOC:jsg]	TAS	biological_process	NSE4 homolog, SMC5-SMC6 complex component A [Source:HGNC Symbol;Acc:HGNC:25935]	54780
ENSG00000107672	GO:2001022	positive regulation of response to DNA damage stimulus	Any process that activates or increases the frequency, rate or extent of response to DNA damage stimulus. [GOC:obol]	IMP	biological_process	NSE4 homolog, SMC5-SMC6 complex component A [Source:HGNC Symbol;Acc:HGNC:25935]	54780
ENSG00000107672	GO:0016925	protein sumoylation	The process in which a SUMO protein (small ubiquitin-related modifier) is conjugated to a target protein via an isopeptide bond between the carboxyl terminus of SUMO with an epsilon-amino group of a lysine residue of the target protein. [GOC:jl, PMID:11265250]	TAS	biological_process	NSE4 homolog, SMC5-SMC6 complex component A [Source:HGNC Symbol;Acc:HGNC:25935]	54780
